Mass,Age
0.1,2942934385844.843
0.15,1804685029278.944
0.2,1141570095491.0547
0.25,725987756113.0834
0.3,447572025774.7989
0.31,404372501847.4256
0.32,356023800570.29236
0.33,315647651764.5197
0.34,279534367473.5987
0.35,241845607727.18393
0.36,200891698412.05737
0.37,180206040554.21353
0.38,159330066804.57434
0.39,152779496672.68896
0.4,146508985447.57492
0.45,118848357627.19508
0.5,95282295952.57413
0.55,74866814073.53938
0.6,59062431239.47424
0.65,45295698977.277
0.7,35374672141.04846
0.75,27932747618.75318
0.8,22285406756.652435
0.85,17943736923.42076
0.9,14575309120.4593
0.92,13435171896.10963
0.94,12425293083.295319
0.96,11482471827.06836
0.98,10623402424.986494
1.0,9837630324.2458
1.02,9118943138.701984
1.04,8480224004.579439
1.06,7879150758.742462
1.08,7329460970.325924
1.1,6822356575.812753
1.12,6359728245.383697
1.14,5948093627.755763
1.16,5638107778.591505
1.18,5317421016.757423
1.2,4997427740.491202
1.22,4708753522.900522
1.24,4437611816.091265
1.26,4202611613.0478253
1.28,3980243375.303385
1.3,3749905926.481086
1.32,3560482174.9556875
1.34,3378693882.032943
1.36,3206339898.186652
1.38,3061442408.881594
1.4,2929322061.6172237
1.42,2806362621.887888
1.44,2691714576.2292066
1.46,2580808429.4008327
1.48,2478924496.4227715
1.5,2386658636.634286
1.52,2288254558.0770774
1.54,2206005383.8350186
1.56,2126687229.071229
1.58,2050872071.8627284
1.6,1979635102.2579966
1.62,1910699839.2742476
1.64,1848137394.5520072
1.66,1787485947.7047813
1.68,1727915347.3687153
1.7,1672344947.7704835
1.72,1620021312.2890103
1.74,1568841949.487227
1.76,1520377664.2678416
1.78,1473054231.2973378
1.8,1428133168.6819463
1.82,1386178994.9570003
1.84,1343745856.6281314
1.86,1304308789.4764924
1.88,1265880897.034131
1.9,1230038850.4507186
1.92,1195202299.1642787
1.94,1163188209.6185446
1.96,1128642411.2941844
1.98,1101146595.8009186
2.0,1072551738.3404747
2.02,1042013665.7412304
2.04,1013435470.2840899
2.06,988523172.9276065
2.08,963389379.9931805
2.1,938220917.1363893
2.12,915605535.2838169
2.14,891213843.0543736
2.16,869285819.2781365
2.18,847036982.0065557
2.2,827702237.8980627
2.22,807201875.8091464
2.24,788221807.1846454
2.26,769900852.8431927
2.28,752743314.3638686
2.3,734539125.1065961
2.32,717844115.5507212
2.34,702566355.361739
2.36,685401449.739791
2.38,670303297.9868817
2.4,655577075.9799533
2.42,641208863.7319758
2.44,626069744.6305305
2.46,613440786.1832806
2.48,599897457.0652018
2.5,587805324.3732709
2.52,574674295.7406515
2.54,563095487.6224058
2.56,550860230.7027733
2.58,540017828.2961754
2.6,528423871.0880689
2.62,518630514.06576586
2.64,508208494.1966563
2.66,497914538.06580085
2.68,488157821.26890206
2.7,478736164.10840714
2.72,469276459.5376269
2.74,460433656.6993363
2.76,452174365.3679403
2.78,443390694.7557317
2.8,434909481.7767577
3.0,363504656.6588384
3.2,307137550.006911
3.4,263203361.86342904
3.6,227729773.13903996
3.8,198631875.05959412
4.0,174683929.95384464
4.2,155453031.89210084
4.4,138504051.5720573
4.6,124261003.34315257
4.8,112027041.37647851
5.0,101430272.68187332
5.2,92953088.60884722
5.4,85222694.22018833
5.6,78397107.75238866
5.8,73379169.59079267
6.0,66645231.83411114
6.2,62858477.52744312
6.4,58061897.0994152
6.6,54358010.70419444
6.8,51010392.11170617
7.0,47952221.806392916
7.2,45300785.33648569
7.4,42704827.93362026
7.6,40381650.71514791
7.8,38436743.6331508
8.0,36687367.896407336
9.0,29301098.493021213
10.0,24026778.376064826
11.0,20427770.9580437
12.0,17613918.29124891
13.0,15567291.641467914
14.0,13969542.078437941
15.0,12682096.52654788
16.0,11631443.950509256
17.0,10763385.758535406
18.0,10088275.499951178
19.0,9422267.56986187
20.0,8921777.291742966
22.0,8062173.486745614
24.0,7420085.040884456
26.0,6896191.434927042
28.0,6476002.886681413
30.0,6102860.829129641
32.0,5781723.733801903
34.0,5510275.009354218
36.0,5348078.167241029
38.0,5148060.219423937
40.0,4954100.240589715
45.0,4582252.297001473
50.0,4276155.766276865
55.0,4083605.279459842
60.0,3946539.4884545635
65.0,3821786.002637882
70.0,3695336.607884581
75.0,3584127.582698252
80.0,3336987.4003678625
85.0,3360804.7402810906
90.0,3240593.431765489
95.0,2883700.1828189897
100.0,2665189.113644377
105.0,2558879.4691239833
110.0,2475876.309274078
115.0,2415396.658104057
120.0,2338580.8714950206
125.0,2321536.2306168578
130.0,2291047.9971750816
135.0,2312769.6826514318
140.0,2374923.746211143
145.0,2357468.776716436
150.0,2302313.252691487
175.0,2110444.5692889104
200.0,1934007.9596906772
225.0,1744347.131808481
250.0,1627994.5861677215
275.0,1603194.2384790564
300.0,1565695.1130651743
