,inner_star1_id,inner_star2_id,tertiary_star_id,sep_inner_AU,sep_inner_tertiary_AU,matched_stars,matched_catalogs,solution_type,n_matched_components
0,2852562732196504320,2852562732195048064,2852562766556242816,373.40574469668934,6523.799744670655,"inner_star1,tertiary","Gaia_Eclipsing,NSS","eclipsing,Orbital",2
1,6185430896893625472,6185430931253573376,6185430995676754816,811.063374130813,14609.684937096128,"inner_star1,tertiary","NSS,NSS","SB1,SB1",2
2,4405564971614747648,4405563498449120000,4405565250795778176,3882.816454996828,23128.48804354408,"inner_star1,inner_star2","Gaia_Eclipsing,NSS","eclipsing,SB1",2
3,3137402381991357568,3137402386286103680,3137402386290690944,659.9055300346441,7860.698193238739,"inner_star1,tertiary","Gaia_Eclipsing,NSS","eclipsing,SB1",2
4,1045639479321150720,1045639475028222080,1045639479321150592,417.52679267810504,1581.428030202724,"inner_star1,tertiary","Gaia_Eclipsing,NSS","eclipsing,AstroSpectroSB1",2
5,2364497457725720832,2364497457724970240,2364498729036040192,442.49904561446186,7998.9977342528255,"inner_star1,tertiary","NSS,Gaia_Eclipsing","Orbital,eclipsing",2
6,2151109498047828224,2151109498047827840,2151109429328349056,1642.9307718327448,15738.482310828613,inner_star1,Gaia_Eclipsing,eclipsing,1
7,5870098212020703744,5870098212020750720,5870098207665590784,658.8003526961593,1130.3580968383224,inner_star1,Gaia_Eclipsing,eclipsing,1
8,5292147273501413632,5292147277794754944,5292147071639462272,547.664006083481,14843.739279499005,inner_star1,NSS,AstroSpectroSB1,1
9,5535485895561899520,5535485899860137600,5535486071658817664,773.0254496584082,19458.74914069845,inner_star1,Gaia_Eclipsing,eclipsing,1
10,866156541232440192,866156541233994368,866156541233994880,117.57604241357848,3008.0341437008055,inner_star2,Gaia_Eclipsing,eclipsing,1
11,1927317169077183744,1927317169072781056,1927317169077181056,209.12297172351217,3569.9041133699347,inner_star1,Gaia_Eclipsing,eclipsing,1
12,1990451019363922048,1990451023668642944,1990451019364928000,1072.5044704175618,4193.68258295956,inner_star1,NSS,SB2,1
13,2253143867868318080,2253143867866327936,2253144035370475648,290.99191330872816,10036.986729503287,tertiary,NSS,SB1,1
14,465696745500535680,465696745500535808,465696745500530944,436.9495342074414,4716.015602675328,inner_star1,Gaia_Eclipsing,eclipsing,1
15,5832492887106511360,5832492921430098432,5832492818387030272,327.60744624005525,20043.048908114855,inner_star1,Gaia_Eclipsing,eclipsing,1
16,5862665479053189632,5862665474701338368,5862665685206115584,2301.718092156238,17146.03669372326,tertiary,NSS,SB1,1
17,2189203796384506624,2189203796384506112,2189203796384507008,1264.084130454678,5511.311555420414,inner_star1,NSS,SB1,1
18,1125053905659496832,1125053905660676864,1125053905660676992,112.27768018046298,859.398354675657,tertiary,NSS,AstroSpectroSB1,1
19,1124792324973462144,1124792324973462272,1124792355036080768,727.5793861796541,29525.537789155303,tertiary,NSS,AstroSpectroSB1,1
20,2940845471432130688,2940845372647555200,2940845471431656704,187.25430807442743,931.2735295891622,inner_star1,Gaia_Eclipsing,eclipsing,1
21,4768908832511920384,4768908832511920128,4768911787449419392,575.6141162810295,2052.259042065895,inner_star1,Gaia_Eclipsing,eclipsing,1
22,5370900073023142528,5370900073023141760,5370900103078205440,862.4211941541896,12831.310814626017,inner_star1,NSS,SB1,1
23,6236272555081752960,6236272555089099392,6236272555089099264,426.7738527125663,884.1374470142714,inner_star1,Gaia_Eclipsing,eclipsing,1
24,4367998443162980864,4368045378565592064,4368045378565592832,1333.7122899061517,2796.5837421063397,inner_star1,Gaia_Eclipsing,eclipsing,1
25,3332940045271639168,3332940049566541568,3332940045271981056,151.75506010722592,851.8936447363207,tertiary,Gaia_Eclipsing,eclipsing,1
26,421737274187773824,421737274180056320,421737308547507456,334.91069391199375,3702.221853473079,tertiary,NSS,AstroSpectroSB1,1
